unit_id,model_name,condition,city_id,bank_id,position_id,localization_error_m,csi_context_sha256,base_map_cluster_id,map_sha256,action_sha256,query_count
fixture-bank-12:0:source-a:fixture-bank-12:p0000,SigMap,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.3521172435076143,a02316f49d638f2bbf2bce770820c4a7b5b2e5c9a8617c5ddc97fda97c337403,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:0:source-a:fixture-bank-12:p0000,SigMap,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.3519169068620696,a02316f49d638f2bbf2bce770820c4a7b5b2e5c9a8617c5ddc97fda97c337403,fixture-base-12,8d2c6d3ad657216758cb61a91554f699ef6b692f87e6208b2f34dfa43603b79c,d97ae786f3340de45840c87dc409a54ceb077138c7a693002b947b7143af5572,1
fixture-bank-12:0:source-a:fixture-bank-12:p0000,SigMap,paired_null_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.352226428547479,a02316f49d638f2bbf2bce770820c4a7b5b2e5c9a8617c5ddc97fda97c337403,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,25244cb82e49a93c53798129cfe27616df00806080d2bc01788d5c507b678af1,1
fixture-bank-12:0:source-a:fixture-bank-12:p0000,SigMap,wrong_city,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.351906793548902,a02316f49d638f2bbf2bce770820c4a7b5b2e5c9a8617c5ddc97fda97c337403,fixture-base-12,d5562de0e2a83eb75a5283cc308d5029c8fdf9ff8641aa0a418d47978400e998,cd6fbc5fb7763b3b83939b07a307c9a94efa49be29a928c55fe2712340b36782,1
fixture-bank-12:0:source-a:fixture-bank-12:p0000,SigMap,geometry_destroyed,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.352338050762221,a02316f49d638f2bbf2bce770820c4a7b5b2e5c9a8617c5ddc97fda97c337403,fixture-base-12,05731184a8a9cabfbb6aa59461420dc5add1dff7cb4d4d30b3ece29099071141,668aa1e4b33d38df51f3c5dfb22b1d9eb0dd680eb50ff3d4ee2f3bea8587c66b,1
fixture-bank-12:0:source-a:fixture-bank-12:p0000,SigMap,empty,source-a,fixture-bank-12,source-a:fixture-bank-12:p0000,2.352568657498162,a02316f49d638f2bbf2bce770820c4a7b5b2e5c9a8617c5ddc97fda97c337403,fixture-base-12,80422bc3d307b4a25bdafcc84ac7fb01cb55a09810e8b0f37bb12e0edb5c48ca,9e55c822c8873725352f0c67ef4fee4f2aaffcd3ca9f5ff0b09459833c18bb65,1
fixture-bank-12:0:source-a:fixture-bank-12:p0001,SigMap,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.3512216559658476,b0cb92920f82d1d9b0180148b2a64a0dd38097efd4c19bf921bc07a5ede8ac32,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:0:source-a:fixture-bank-12:p0001,SigMap,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.350841286119326,b0cb92920f82d1d9b0180148b2a64a0dd38097efd4c19bf921bc07a5ede8ac32,fixture-base-12,8d2c6d3ad657216758cb61a91554f699ef6b692f87e6208b2f34dfa43603b79c,d97ae786f3340de45840c87dc409a54ceb077138c7a693002b947b7143af5572,1
fixture-bank-12:0:source-a:fixture-bank-12:p0001,SigMap,paired_null_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.349820850684193,b0cb92920f82d1d9b0180148b2a64a0dd38097efd4c19bf921bc07a5ede8ac32,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,25244cb82e49a93c53798129cfe27616df00806080d2bc01788d5c507b678af1,1
fixture-bank-12:0:source-a:fixture-bank-12:p0001,SigMap,wrong_city,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.350411701536783,b0cb92920f82d1d9b0180148b2a64a0dd38097efd4c19bf921bc07a5ede8ac32,fixture-base-12,d5562de0e2a83eb75a5283cc308d5029c8fdf9ff8641aa0a418d47978400e998,cd6fbc5fb7763b3b83939b07a307c9a94efa49be29a928c55fe2712340b36782,1
fixture-bank-12:0:source-a:fixture-bank-12:p0001,SigMap,geometry_destroyed,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.3503507412106615,b0cb92920f82d1d9b0180148b2a64a0dd38097efd4c19bf921bc07a5ede8ac32,fixture-base-12,ee1e773bb0fd0f33ea50904f6dd366ac89ec3a7f04d6e8bb1aa8eec5933ad4d2,668aa1e4b33d38df51f3c5dfb22b1d9eb0dd680eb50ff3d4ee2f3bea8587c66b,1
fixture-bank-12:0:source-a:fixture-bank-12:p0001,SigMap,empty,source-a,fixture-bank-12,source-a:fixture-bank-12:p0001,2.3519278056388075,b0cb92920f82d1d9b0180148b2a64a0dd38097efd4c19bf921bc07a5ede8ac32,fixture-base-12,80422bc3d307b4a25bdafcc84ac7fb01cb55a09810e8b0f37bb12e0edb5c48ca,9e55c822c8873725352f0c67ef4fee4f2aaffcd3ca9f5ff0b09459833c18bb65,1
fixture-bank-12:0:source-a:fixture-bank-12:p0002,SigMap,correct,source-a,fixture-bank-12,source-a:fixture-bank-12:p0002,0.797591564204664,5dd652dc734f8db8e6394f51a4a5c1af21260da77a616264ca4ff8a5e3617c21,fixture-base-12,f5927760d3b1814b4517f2d4ec916c38c996cc08756aa052f486f1e0d64db008,23bc76fd36d1490877c3d533b77daa34101fee5b32e5371bb67f3a556051ad6d,1
fixture-bank-12:0:source-a:fixture-bank-12:p0002,SigMap,paired_active_alternative,source-a,fixture-bank-12,source-a:fixture-bank-12:p0002,0.7991259613095262,5dd652dc734f8db8e6394f51a4a5c1af21260da77a616264ca4ff8a5e3617c21,fixture-base-12,43fc05ca825c7ff2e7c00c016f80b1cce1f9303158dc70eba6d35120eb50ac68,eb9f4ff4c31beda2b58c8c1627df055ff5a7fcdfa8fc0adb0a917ab4f12df679,1
