panel,method,city,budget,metric,value,status,n,source,note
alignment_shortcuts,,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts,,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:constant,endpoint,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:csi_only,endpoint,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:map_only,endpoint,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:scene_id_only,endpoint,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:edit_status_xor,endpoint,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:variant_id_matcher,endpoint,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:constant,endpoint,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:csi_only,endpoint,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:map_only,endpoint,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:scene_id_only,endpoint,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:edit_status_xor,endpoint,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:variant_id_matcher,endpoint,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:constant,alignment,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:csi_only,alignment,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:map_only,alignment,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:scene_id_only,alignment,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:edit_status_xor,alignment,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:variant_id_matcher,alignment,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:constant,alignment,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:csi_only,alignment,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:map_only,alignment,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:scene_id_only,alignment,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:edit_status_xor,alignment,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:variant_id_matcher,alignment,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:constant,response,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:csi_only,response,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:map_only,response,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:scene_id_only,response,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:edit_status_xor,response,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:variant_id_matcher,response,target-boston,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:constant,response,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:csi_only,response,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:map_only,response,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
alignment_shortcuts:scene_id_only,response,target-seattle,,unseen_bank_auroc,,MISSING,,evaluation/alignment_shortcut_baselines.csv,
