panel,method,city,budget,metric,value,status,n,source,note
alignment,endpoint,target-boston,,cgs_auroc,,MISSING,,evaluation/cgs_per_bank.csv,
alignment,endpoint,target-seattle,,cgs_auroc,,MISSING,,evaluation/cgs_per_bank.csv,
alignment,alignment,target-boston,,cgs_auroc,,MISSING,,evaluation/cgs_per_bank.csv,
alignment,alignment,target-seattle,,cgs_auroc,,MISSING,,evaluation/cgs_per_bank.csv,
alignment,response,target-boston,,cgs_auroc,,MISSING,,evaluation/cgs_per_bank.csv,
alignment,response,target-seattle,,cgs_auroc,,MISSING,,evaluation/cgs_per_bank.csv,
alignment,full,target-boston,,cgs_auroc,,MISSING,,evaluation/cgs_per_bank.csv,
alignment,full,target-seattle,,cgs_auroc,,MISSING,,evaluation/cgs_per_bank.csv,
null,endpoint,target-boston,,overclassification_rate,,MISSING,,evaluation/compatibility_route_distributions.csv,
null,endpoint,target-seattle,,overclassification_rate,,MISSING,,evaluation/compatibility_route_distributions.csv,
null,alignment,target-boston,,overclassification_rate,,MISSING,,evaluation/compatibility_route_distributions.csv,
null,alignment,target-seattle,,overclassification_rate,,MISSING,,evaluation/compatibility_route_distributions.csv,
null,response,target-boston,,overclassification_rate,,MISSING,,evaluation/compatibility_route_distributions.csv,
null,response,target-seattle,,overclassification_rate,,MISSING,,evaluation/compatibility_route_distributions.csv,
null,full,target-boston,,overclassification_rate,,MISSING,,evaluation/compatibility_route_distributions.csv,
null,full,target-seattle,,overclassification_rate,,MISSING,,evaluation/compatibility_route_distributions.csv,
response,endpoint,target-boston,,unified_response_probe_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,endpoint,target-boston,,native_target_free_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,endpoint,target-boston,,native_null_violation_rate,,MISSING,,evaluation/response_per_bank.csv,
response,endpoint,target-seattle,,unified_response_probe_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,endpoint,target-seattle,,native_target_free_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,endpoint,target-seattle,,native_null_violation_rate,,MISSING,,evaluation/response_per_bank.csv,
response,alignment,target-boston,,unified_response_probe_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,alignment,target-boston,,native_target_free_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,alignment,target-boston,,native_null_violation_rate,,MISSING,,evaluation/response_per_bank.csv,
response,alignment,target-seattle,,unified_response_probe_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,alignment,target-seattle,,native_target_free_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,alignment,target-seattle,,native_null_violation_rate,,MISSING,,evaluation/response_per_bank.csv,
response,response,target-boston,,unified_response_probe_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,response,target-boston,,native_target_free_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,response,target-boston,,native_null_violation_rate,,MISSING,,evaluation/response_per_bank.csv,
response,response,target-seattle,,unified_response_probe_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,response,target-seattle,,native_target_free_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,response,target-seattle,,native_null_violation_rate,,MISSING,,evaluation/response_per_bank.csv,
response,full,target-boston,,unified_response_probe_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,full,target-boston,,native_target_free_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,full,target-boston,,native_null_violation_rate,,MISSING,,evaluation/response_per_bank.csv,
response,full,target-seattle,,unified_response_probe_active_patch_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,full,target-seattle,,native_target_free_full_channel_nmse,,MISSING,,evaluation/response_per_bank.csv,
response,full,target-seattle,,native_null_violation_rate,,MISSING,,evaluation/response_per_bank.csv,
