panel,method,city,budget,metric,value,status,n,source,note
risk,,,,aurc,,MISSING,,risk/metrics.csv,
risk,,,,ece,,MISSING,,risk/metrics.csv,
risk,,,,brier,,MISSING,,risk/metrics.csv,
risk,,,,nll,,MISSING,,risk/metrics.csv,
risk,,,,support_coverage,,MISSING,,risk/metrics.csv,
risk,,,,risk_error_spearman,,MISSING,,risk/metrics.csv,
risk:d_only,alignment,,,coverage,,MISSING,,,Expected risk model is absent.
risk:joint,alignment,,,coverage,,MISSING,,,Expected risk model is absent.
risk:u_only,alignment,,,coverage,,MISSING,,,Expected risk model is absent.
risk:d_only,endpoint,,,coverage,,MISSING,,,Expected risk model is absent.
risk:joint,endpoint,,,coverage,,MISSING,,,Expected risk model is absent.
risk:u_only,endpoint,,,coverage,,MISSING,,,Expected risk model is absent.
risk:d_only,full,,,coverage,,MISSING,,,Expected risk model is absent.
risk:joint,full,,,coverage,,MISSING,,,Expected risk model is absent.
risk:u_only,full,,,coverage,,MISSING,,,Expected risk model is absent.
risk:d_only,response,,,coverage,,MISSING,,,Expected risk model is absent.
risk:joint,response,,,coverage,,MISSING,,,Expected risk model is absent.
risk:u_only,response,,,coverage,,MISSING,,,Expected risk model is absent.
coverage,,,,risk,,MISSING,,"risk/metrics.csv, risk/proposal_audit.csv",A complete stage receipt is absent; some rows alone cannot establish coverage.
