panel,method,city,budget,metric,value,status,n,source,note
localization,full,target-boston,128,mean_bank_p90_error_m,35.42784388816041,COMPLETE,41,factorial/localization_summary.csv,
localization,full,target-seattle,0,mean_bank_median_error_m,9.1516786851811,COMPLETE,41,factorial/localization_summary.csv,
localization,full,target-seattle,0,mean_bank_p90_error_m,29.669264667651895,COMPLETE,41,factorial/localization_summary.csv,
localization,full,target-seattle,8,mean_bank_median_error_m,13.075027575836053,COMPLETE,41,factorial/localization_summary.csv,
localization,full,target-seattle,8,mean_bank_p90_error_m,37.36616390362037,COMPLETE,41,factorial/localization_summary.csv,
localization,full,target-seattle,32,mean_bank_median_error_m,11.388892057779739,COMPLETE,41,factorial/localization_summary.csv,
localization,full,target-seattle,32,mean_bank_p90_error_m,34.07445099702141,COMPLETE,41,factorial/localization_summary.csv,
localization,full,target-seattle,128,mean_bank_median_error_m,11.097603340993551,COMPLETE,41,factorial/localization_summary.csv,
localization,full,target-seattle,128,mean_bank_p90_error_m,33.21270823364112,COMPLETE,41,factorial/localization_summary.csv,
localization,Wi-GATr,target-boston,0,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-boston,0,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-boston,8,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-boston,8,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-boston,32,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-boston,32,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-boston,128,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-boston,128,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-seattle,0,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-seattle,0,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-seattle,8,mean_bank_median_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
localization,Wi-GATr,target-seattle,8,mean_bank_p90_error_m,,MISSING,,paper_baselines/localization_summary.csv,Full seed/draw/cluster coverage required; six-condition diagnostic errors are not interchangeable.
